collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T10:00:00Z,2026-04-30T12:00:00+0200,769.5075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T11:00:00Z,2026-04-30T13:00:00+0200,933.32,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T12:00:00Z,2026-04-30T14:00:00+0200,1032.43,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T13:00:00Z,2026-04-30T15:00:00+0200,1146.93,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T14:00:00Z,2026-04-30T16:00:00+0200,1206.26,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T15:00:00Z,2026-04-30T17:00:00+0200,952.37,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T16:00:00Z,2026-04-30T18:00:00+0200,1030.7525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T17:00:00Z,2026-04-30T19:00:00+0200,1253.5725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T18:00:00Z,2026-04-30T20:00:00+0200,1518.825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T19:00:00Z,2026-04-30T21:00:00+0200,1674.335,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T20:00:00Z,2026-04-30T22:00:00+0200,1703.83,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T21:00:00Z,2026-04-30T23:00:00+0200,1474.345,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T22:00:00Z,2026-05-01T00:00:00+0200,1280.735,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T23:00:00Z,2026-05-01T01:00:00+0200,881.865,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T00:00:00Z,2026-05-01T02:00:00+0200,835.985,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T01:00:00Z,2026-05-01T03:00:00+0200,771.2675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T02:00:00Z,2026-05-01T04:00:00+0200,579.9225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T03:00:00Z,2026-05-01T05:00:00+0200,570.9725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T04:00:00Z,2026-05-01T06:00:00+0200,595.5475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T05:00:00Z,2026-05-01T07:00:00+0200,625.475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T06:00:00Z,2026-05-01T08:00:00+0200,553.425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T07:00:00Z,2026-05-01T09:00:00+0200,392.72,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T08:00:00Z,2026-05-01T10:00:00+0200,223.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T09:00:00Z,2026-05-01T11:00:00+0200,154.93,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-05-01T10:00:00Z,2026-05-01T12:00:00+0200,69.525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
