collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T11:00:00Z,2026-04-24T13:00:00+0200,160.8375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T12:00:00Z,2026-04-24T14:00:00+0200,200.505,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T13:00:00Z,2026-04-24T15:00:00+0200,232.505,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T14:00:00Z,2026-04-24T16:00:00+0200,239.1125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T15:00:00Z,2026-04-24T17:00:00+0200,291.6175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T16:00:00Z,2026-04-24T18:00:00+0200,324.28,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T17:00:00Z,2026-04-24T19:00:00+0200,381.8675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T18:00:00Z,2026-04-24T20:00:00+0200,347.2925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T19:00:00Z,2026-04-24T21:00:00+0200,258.335,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T20:00:00Z,2026-04-24T22:00:00+0200,222.2225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T21:00:00Z,2026-04-24T23:00:00+0200,184.8825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T22:00:00Z,2026-04-25T00:00:00+0200,149.1625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T23:00:00Z,2026-04-25T01:00:00+0200,138.4275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T00:00:00Z,2026-04-25T02:00:00+0200,88.9225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T01:00:00Z,2026-04-25T03:00:00+0200,59.4125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T02:00:00Z,2026-04-25T04:00:00+0200,28.4425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T03:00:00Z,2026-04-25T05:00:00+0200,33.8425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T04:00:00Z,2026-04-25T06:00:00+0200,0.92,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T04:00:00Z,2026-04-25T06:00:00+0200,14.6575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T05:00:00Z,2026-04-25T07:00:00+0200,27.0,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T06:00:00Z,2026-04-25T08:00:00+0200,26.83,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T07:00:00Z,2026-04-25T09:00:00+0200,27.0875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T08:00:00Z,2026-04-25T10:00:00+0200,28.67,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T09:00:00Z,2026-04-25T11:00:00+0200,29.2725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T10:00:00Z,2026-04-25T12:00:00+0200,28.6125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T11:00:00Z,2026-04-25T13:00:00+0200,28.9525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T12:00:00Z,2026-04-25T14:00:00+0200,29.5525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T13:00:00Z,2026-04-25T15:00:00+0200,29.7925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T14:00:00Z,2026-04-25T16:00:00+0200,29.8575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T15:00:00Z,2026-04-25T17:00:00+0200,29.6075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T16:00:00Z,2026-04-25T18:00:00+0200,28.17,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T17:00:00Z,2026-04-25T19:00:00+0200,26.95,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T18:00:00Z,2026-04-25T20:00:00+0200,24.4525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T19:00:00Z,2026-04-25T21:00:00+0200,0.03,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T19:00:00Z,2026-04-25T21:00:00+0200,12.8775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T20:00:00Z,2026-04-25T22:00:00+0200,24.1675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T21:00:00Z,2026-04-25T23:00:00+0200,8.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T21:00:00Z,2026-04-25T23:00:00+0200,6.9525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T22:00:00Z,2026-04-26T00:00:00+0200,71.59,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-25T23:00:00Z,2026-04-26T01:00:00+0200,64.84,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T00:00:00Z,2026-04-26T02:00:00+0200,105.21,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T01:00:00Z,2026-04-26T03:00:00+0200,177.87,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T02:00:00Z,2026-04-26T04:00:00+0200,208.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T03:00:00Z,2026-04-26T05:00:00+0200,359.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T04:00:00Z,2026-04-26T06:00:00+0200,563.2075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T05:00:00Z,2026-04-26T07:00:00+0200,449.335,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T06:00:00Z,2026-04-26T08:00:00+0200,285.0575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T07:00:00Z,2026-04-26T09:00:00+0200,101.565,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T08:00:00Z,2026-04-26T10:00:00+0200,33.6925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T09:00:00Z,2026-04-26T11:00:00+0200,32.1125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T10:00:00Z,2026-04-26T12:00:00+0200,14.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T11:00:00Z,2026-04-26T13:00:00+0200,7.335,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T12:00:00Z,2026-04-26T14:00:00+0200,5.5975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-26T12:00:00Z,2026-04-26T14:00:00+0200,0.26,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-05-23T18:55:10Z
