timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T10:00:00Z,2022-01-01T11:00:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T10:15:00Z,2022-01-01T11:15:00+0100,1413.65,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T10:15:00Z,2022-01-01T11:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T10:30:00Z,2022-01-01T11:30:00+0100,1363.46,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T10:30:00Z,2022-01-01T11:30:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T10:45:00Z,2022-01-01T11:45:00+0100,1339.38,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T10:45:00Z,2022-01-01T11:45:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T11:00:00Z,2022-01-01T12:00:00+0100,1346.51,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T11:00:00Z,2022-01-01T12:00:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T11:15:00Z,2022-01-01T12:15:00+0100,1423.98,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T11:15:00Z,2022-01-01T12:15:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T11:30:00Z,2022-01-01T12:30:00+0100,1439.52,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T11:30:00Z,2022-01-01T12:30:00+0100,0.07,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T11:45:00Z,2022-01-01T12:45:00+0100,1479.72,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T11:45:00Z,2022-01-01T12:45:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T12:00:00Z,2022-01-01T13:00:00+0100,1530.66,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T12:00:00Z,2022-01-01T13:00:00+0100,0.06,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T12:15:00Z,2022-01-01T13:15:00+0100,1502.9,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T12:15:00Z,2022-01-01T13:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T12:30:00Z,2022-01-01T13:30:00+0100,1523.7,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T12:30:00Z,2022-01-01T13:30:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T12:45:00Z,2022-01-01T13:45:00+0100,1508.1,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T12:45:00Z,2022-01-01T13:45:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T13:00:00Z,2022-01-01T14:00:00+0100,1526.19,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T13:00:00Z,2022-01-01T14:00:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T13:15:00Z,2022-01-01T14:15:00+0100,1521.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
