collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:00:00Z,2026-07-08T15:00:00+0200,0.025,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:15:00Z,2026-07-08T15:15:00+0200,112.733,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:15:00Z,2026-07-08T15:15:00+0200,0.029,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:30:00Z,2026-07-08T15:30:00+0200,143.639,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:30:00Z,2026-07-08T15:30:00+0200,0.025,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:45:00Z,2026-07-08T15:45:00+0200,138.669,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:45:00Z,2026-07-08T15:45:00+0200,0.027,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:00:00Z,2026-07-08T16:00:00+0200,135.779,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:00:00Z,2026-07-08T16:00:00+0200,0.029,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:15:00Z,2026-07-08T16:15:00+0200,103.336,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:15:00Z,2026-07-08T16:15:00+0200,0.028,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:30:00Z,2026-07-08T16:30:00+0200,98.418,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:30:00Z,2026-07-08T16:30:00+0200,0.029,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:45:00Z,2026-07-08T16:45:00+0200,104.379,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T14:45:00Z,2026-07-08T16:45:00+0200,0.027,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:00:00Z,2026-07-08T17:00:00+0200,89.816,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:00:00Z,2026-07-08T17:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:15:00Z,2026-07-08T17:15:00+0200,98.777,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:15:00Z,2026-07-08T17:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:30:00Z,2026-07-08T17:30:00+0200,109.887,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:30:00Z,2026-07-08T17:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:45:00Z,2026-07-08T17:45:00+0200,105.54,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T15:45:00Z,2026-07-08T17:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T16:00:00Z,2026-07-08T18:00:00+0200,91.739,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
