collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T08:15:00Z,2026-07-20T10:15:00+0200,716.63,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T08:30:00Z,2026-07-20T10:30:00+0200,662.76,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T08:45:00Z,2026-07-20T10:45:00+0200,649.09,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T09:00:00Z,2026-07-20T11:00:00+0200,614.58,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T09:15:00Z,2026-07-20T11:15:00+0200,580.9,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T09:30:00Z,2026-07-20T11:30:00+0200,590.7,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T09:45:00Z,2026-07-20T11:45:00+0200,613.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T10:00:00Z,2026-07-20T12:00:00+0200,613.82,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T10:15:00Z,2026-07-20T12:15:00+0200,636.79,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T10:30:00Z,2026-07-20T12:30:00+0200,646.49,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T10:45:00Z,2026-07-20T12:45:00+0200,705.01,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T11:00:00Z,2026-07-20T13:00:00+0200,709.61,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T11:15:00Z,2026-07-20T13:15:00+0200,683.86,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T11:30:00Z,2026-07-20T13:30:00+0200,700.8,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T11:45:00Z,2026-07-20T13:45:00+0200,733.85,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T12:00:00Z,2026-07-20T14:00:00+0200,780.99,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T12:15:00Z,2026-07-20T14:15:00+0200,852.41,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T12:30:00Z,2026-07-20T14:30:00+0200,904.67,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T12:45:00Z,2026-07-20T14:45:00+0200,937.52,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T13:00:00Z,2026-07-20T15:00:00+0200,946.22,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T13:15:00Z,2026-07-20T15:15:00+0200,950.79,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T13:30:00Z,2026-07-20T15:30:00+0200,967.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T13:45:00Z,2026-07-20T15:45:00+0200,985.52,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
2026-08-19T17:01:31Z,2026-08-19T19:01:31+0200,395960f0-c1b7-4f8a-995e-248fc08322c8,2026-07-20T14:00:00Z,2026-07-20T16:00:00+0200,1056.11,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-19T17:03:39Z
