collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:15:00Z,2026-09-11T22:15:00+0200,179.225,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:15:00Z,2026-09-11T22:15:00+0200,22.525,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:30:00Z,2026-09-11T22:30:00+0200,131.39,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:30:00Z,2026-09-11T22:30:00+0200,22.823,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:45:00Z,2026-09-11T22:45:00+0200,100.962,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:45:00Z,2026-09-11T22:45:00+0200,27.798,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,86.355,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,32.083,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:15:00Z,2026-09-11T23:15:00+0200,81.421,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:15:00Z,2026-09-11T23:15:00+0200,33.258,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:30:00Z,2026-09-11T23:30:00+0200,81.532,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:30:00Z,2026-09-11T23:30:00+0200,32.947,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:45:00Z,2026-09-11T23:45:00+0200,66.774,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T21:45:00Z,2026-09-11T23:45:00+0200,33.03,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,59.478,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,33.699,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:15:00Z,2026-09-12T00:15:00+0200,74.404,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:15:00Z,2026-09-12T00:15:00+0200,34.231,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:30:00Z,2026-09-12T00:30:00+0200,84.484,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:30:00Z,2026-09-12T00:30:00+0200,34.679,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:45:00Z,2026-09-12T00:45:00+0200,100.188,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T22:45:00Z,2026-09-12T00:45:00+0200,34.395,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,107.985,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,34.066,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:15:00Z,2026-09-12T01:15:00+0200,98.964,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:15:00Z,2026-09-12T01:15:00+0200,33.822,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:30:00Z,2026-09-12T01:30:00+0200,99.91,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:30:00Z,2026-09-12T01:30:00+0200,33.575,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:45:00Z,2026-09-12T01:45:00+0200,108.431,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T23:45:00Z,2026-09-12T01:45:00+0200,33.513,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,140.064,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,33.74,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:15:00Z,2026-09-12T02:15:00+0200,161.672,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:15:00Z,2026-09-12T02:15:00+0200,33.408,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:30:00Z,2026-09-12T02:30:00+0200,159.749,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:30:00Z,2026-09-12T02:30:00+0200,31.836,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-12T00:45:00Z,2026-09-12T02:45:00+0200,153.937,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
