collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T21:15:00Z,2026-09-05T23:15:00+0200,16.604,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T21:30:00Z,2026-09-05T23:30:00+0200,315.387,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T21:30:00Z,2026-09-05T23:30:00+0200,18.367,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T21:45:00Z,2026-09-05T23:45:00+0200,311.562,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T21:45:00Z,2026-09-05T23:45:00+0200,20.316,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:00:00Z,2026-09-06T00:00:00+0200,311.14,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:00:00Z,2026-09-06T00:00:00+0200,21.478,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:15:00Z,2026-09-06T00:15:00+0200,305.18,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:15:00Z,2026-09-06T00:15:00+0200,26.174,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:30:00Z,2026-09-06T00:30:00+0200,294.391,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:30:00Z,2026-09-06T00:30:00+0200,28.879,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:45:00Z,2026-09-06T00:45:00+0200,288.967,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T22:45:00Z,2026-09-06T00:45:00+0200,31.458,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T23:00:00Z,2026-09-06T01:00:00+0200,292.991,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T23:00:00Z,2026-09-06T01:00:00+0200,28.555,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
