collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T12:45:00Z,2026-09-14T14:45:00+0200,2.395,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:00:00Z,2026-09-14T15:00:00+0200,1020.662,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:00:00Z,2026-09-14T15:00:00+0200,1.797,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:15:00Z,2026-09-14T15:15:00+0200,1094.311,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:15:00Z,2026-09-14T15:15:00+0200,3.746,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:30:00Z,2026-09-14T15:30:00+0200,1138.239,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:30:00Z,2026-09-14T15:30:00+0200,4.778,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:45:00Z,2026-09-14T15:45:00+0200,1208.68,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T13:45:00Z,2026-09-14T15:45:00+0200,5.362,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:00:00Z,2026-09-14T16:00:00+0200,1317.612,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:00:00Z,2026-09-14T16:00:00+0200,5.198,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:15:00Z,2026-09-14T16:15:00+0200,1369.774,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:15:00Z,2026-09-14T16:15:00+0200,5.685,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:30:00Z,2026-09-14T16:30:00+0200,1388.922,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:30:00Z,2026-09-14T16:30:00+0200,7.639,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:45:00Z,2026-09-14T16:45:00+0200,1319.763,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T14:45:00Z,2026-09-14T16:45:00+0200,8.614,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:00:00Z,2026-09-14T17:00:00+0200,1253.358,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:00:00Z,2026-09-14T17:00:00+0200,8.378,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:15:00Z,2026-09-14T17:15:00+0200,1167.465,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:15:00Z,2026-09-14T17:15:00+0200,8.119,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:30:00Z,2026-09-14T17:30:00+0200,1174.626,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:30:00Z,2026-09-14T17:30:00+0200,6.906,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:45:00Z,2026-09-14T17:45:00+0200,1291.565,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T15:45:00Z,2026-09-14T17:45:00+0200,8.498,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:00:00Z,2026-09-14T18:00:00+0200,1330.962,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:00:00Z,2026-09-14T18:00:00+0200,8.216,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:15:00Z,2026-09-14T18:15:00+0200,1285.474,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:15:00Z,2026-09-14T18:15:00+0200,7.85,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:30:00Z,2026-09-14T18:30:00+0200,1323.227,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:30:00Z,2026-09-14T18:30:00+0200,7.68,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:45:00Z,2026-09-14T18:45:00+0200,1406.333,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T16:45:00Z,2026-09-14T18:45:00+0200,6.253,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:00:00Z,2026-09-14T19:00:00+0200,1227.675,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:00:00Z,2026-09-14T19:00:00+0200,5.718,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:15:00Z,2026-09-14T19:15:00+0200,1191.127,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:15:00Z,2026-09-14T19:15:00+0200,6.974,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:30:00Z,2026-09-14T19:30:00+0200,1269.23,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:30:00Z,2026-09-14T19:30:00+0200,5.91,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:45:00Z,2026-09-14T19:45:00+0200,1305.789,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T17:45:00Z,2026-09-14T19:45:00+0200,5.526,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-21T07:22:53Z
2026-09-21T07:19:44Z,2026-09-21T09:19:44+0200,fd06a55b-7e7d-43fc-a1d9-33d3333ce852,2026-09-14T18:00:00Z,2026-09-14T20:00:00+0200,1338.214,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-21T07:22:53Z
