timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-03T02:00:00Z,2026-01-03T03:00:00+0100,3557.0,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T02:15:00Z,2026-01-03T03:15:00+0100,3664.63,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T02:30:00Z,2026-01-03T03:30:00+0100,3713.61,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T02:45:00Z,2026-01-03T03:45:00+0100,3771.58,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T03:00:00Z,2026-01-03T04:00:00+0100,3771.07,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T03:15:00Z,2026-01-03T04:15:00+0100,3823.09,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T03:30:00Z,2026-01-03T04:30:00+0100,3843.82,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T03:45:00Z,2026-01-03T04:45:00+0100,3926.3,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T04:00:00Z,2026-01-03T05:00:00+0100,3965.77,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T04:15:00Z,2026-01-03T05:15:00+0100,4164.22,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T04:30:00Z,2026-01-03T05:30:00+0100,4355.37,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T04:45:00Z,2026-01-03T05:45:00+0100,4479.71,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T05:00:00Z,2026-01-03T06:00:00+0100,4609.4,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T05:15:00Z,2026-01-03T06:15:00+0100,4716.95,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T05:30:00Z,2026-01-03T06:30:00+0100,4954.08,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T05:45:00Z,2026-01-03T06:45:00+0100,5056.97,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T06:00:00Z,2026-01-03T07:00:00+0100,5115.74,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T06:15:00Z,2026-01-03T07:15:00+0100,5223.6,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T06:30:00Z,2026-01-03T07:30:00+0100,5295.03,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T06:45:00Z,2026-01-03T07:45:00+0100,5266.81,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T07:00:00Z,2026-01-03T08:00:00+0100,5211.55,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T07:15:00Z,2026-01-03T08:15:00+0100,5260.28,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T07:30:00Z,2026-01-03T08:30:00+0100,5360.41,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
