collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T05:30:00Z,2026-07-08T07:30:00+0200,4.286,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T05:45:00Z,2026-07-08T07:45:00+0200,653.567,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T05:45:00Z,2026-07-08T07:45:00+0200,6.107,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:00:00Z,2026-07-08T08:00:00+0200,588.75,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:00:00Z,2026-07-08T08:00:00+0200,8.992,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:15:00Z,2026-07-08T08:15:00+0200,576.612,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:15:00Z,2026-07-08T08:15:00+0200,5.763,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:30:00Z,2026-07-08T08:30:00+0200,540.1,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:30:00Z,2026-07-08T08:30:00+0200,5.9,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:45:00Z,2026-07-08T08:45:00+0200,507.848,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T06:45:00Z,2026-07-08T08:45:00+0200,7.277,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:00:00Z,2026-07-08T09:00:00+0200,478.168,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:00:00Z,2026-07-08T09:00:00+0200,7.103,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:15:00Z,2026-07-08T09:15:00+0200,448.128,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:15:00Z,2026-07-08T09:15:00+0200,6.997,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:30:00Z,2026-07-08T09:30:00+0200,448.779,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:30:00Z,2026-07-08T09:30:00+0200,7.23,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:45:00Z,2026-07-08T09:45:00+0200,433.731,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T07:45:00Z,2026-07-08T09:45:00+0200,8.529,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T08:00:00Z,2026-07-08T10:00:00+0200,378.717,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T08:00:00Z,2026-07-08T10:00:00+0200,9.415,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-07T20:17:11Z
2026-08-07T20:14:16Z,2026-08-07T22:14:16+0200,9428ee74-4657-46b2-a3db-75889a79d732,2026-07-08T08:15:00Z,2026-07-08T10:15:00+0200,334.022,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-07T20:17:11Z
