collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T22:00:00Z,2026-09-13T00:00:00+0200,1251.51,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-12T23:00:00Z,2026-09-13T01:00:00+0200,1166.0375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T00:00:00Z,2026-09-13T02:00:00+0200,870.7775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T01:00:00Z,2026-09-13T03:00:00+0200,664.0475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T02:00:00Z,2026-09-13T04:00:00+0200,602.2,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T03:00:00Z,2026-09-13T05:00:00+0200,606.6525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T04:00:00Z,2026-09-13T06:00:00+0200,466.0575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T05:00:00Z,2026-09-13T07:00:00+0200,409.6675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T06:00:00Z,2026-09-13T08:00:00+0200,250.675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-13T07:00:00Z,2026-09-13T09:00:00+0200,196.5175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
