collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T15:00:00Z,2026-09-06T17:00:00+0200,8.8525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T16:00:00Z,2026-09-06T18:00:00+0200,6.6275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T16:00:00Z,2026-09-06T18:00:00+0200,3.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T17:00:00Z,2026-09-06T19:00:00+0200,53.6575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T18:00:00Z,2026-09-06T20:00:00+0200,164.5825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T19:00:00Z,2026-09-06T21:00:00+0200,335.9375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T20:00:00Z,2026-09-06T22:00:00+0200,313.28,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T21:00:00Z,2026-09-06T23:00:00+0200,385.7625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T22:00:00Z,2026-09-07T00:00:00+0200,392.7725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
2026-09-10T19:06:11Z,2026-09-10T21:06:11+0200,2c734a07-02f1-48f4-bd2c-3fb86d519632,2026-09-06T23:00:00Z,2026-09-07T01:00:00+0200,638.4975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T19:07:52Z
