collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T17:00:00Z,2026-09-14T19:00:00+0200,921.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T18:00:00Z,2026-09-14T20:00:00+0200,776.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T19:00:00Z,2026-09-14T21:00:00+0200,655.89,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T20:00:00Z,2026-09-14T22:00:00+0200,572.4375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T21:00:00Z,2026-09-14T23:00:00+0200,403.3125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T22:00:00Z,2026-09-15T00:00:00+0200,257.36025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T23:00:00Z,2026-09-15T01:00:00+0200,214.48575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T00:00:00Z,2026-09-15T02:00:00+0200,214.606,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T01:00:00Z,2026-09-15T03:00:00+0200,339.64525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T02:00:00Z,2026-09-15T04:00:00+0200,431.0175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-15T03:00:00Z,2026-09-15T05:00:00+0200,523.37625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
