collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T14:30:00Z,2026-09-09T16:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T14:45:00Z,2026-09-09T16:45:00+0200,595.793,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T14:45:00Z,2026-09-09T16:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:00:00Z,2026-09-09T17:00:00+0200,863.946,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:00:00Z,2026-09-09T17:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:15:00Z,2026-09-09T17:15:00+0200,822.519,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:15:00Z,2026-09-09T17:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:30:00Z,2026-09-09T17:30:00+0200,809.333,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:30:00Z,2026-09-09T17:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:45:00Z,2026-09-09T17:45:00+0200,738.128,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T15:45:00Z,2026-09-09T17:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:00:00Z,2026-09-09T18:00:00+0200,797.496,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:00:00Z,2026-09-09T18:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:15:00Z,2026-09-09T18:15:00+0200,782.165,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:15:00Z,2026-09-09T18:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:30:00Z,2026-09-09T18:30:00+0200,677.635,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:30:00Z,2026-09-09T18:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:45:00Z,2026-09-09T18:45:00+0200,709.43,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T16:45:00Z,2026-09-09T18:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:00:00Z,2026-09-09T19:00:00+0200,618.015,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:00:00Z,2026-09-09T19:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:15:00Z,2026-09-09T19:15:00+0200,632.811,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:15:00Z,2026-09-09T19:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:30:00Z,2026-09-09T19:30:00+0200,618.002,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:30:00Z,2026-09-09T19:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:45:00Z,2026-09-09T19:45:00+0200,585.712,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T17:45:00Z,2026-09-09T19:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T18:00:00Z,2026-09-09T20:00:00+0200,557.838,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T18:00:00Z,2026-09-09T20:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T18:30:00Z,2026-09-09T20:30:00+0200,471.884,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T18:30:00Z,2026-09-09T20:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T18:45:00Z,2026-09-09T20:45:00+0200,385.101,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
