collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:45:00Z,2026-09-06T14:45:00+0200,0.005,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:00:00Z,2026-09-06T15:00:00+0200,49.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:00:00Z,2026-09-06T15:00:00+0200,0.001,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:15:00Z,2026-09-06T15:15:00+0200,129.48,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:15:00Z,2026-09-06T15:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:30:00Z,2026-09-06T15:30:00+0200,113.176,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:30:00Z,2026-09-06T15:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:45:00Z,2026-09-06T15:45:00+0200,85.934,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T13:45:00Z,2026-09-06T15:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:00:00Z,2026-09-06T16:00:00+0200,70.798,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:00:00Z,2026-09-06T16:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:15:00Z,2026-09-06T16:15:00+0200,72.901,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:15:00Z,2026-09-06T16:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:30:00Z,2026-09-06T16:30:00+0200,74.736,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:30:00Z,2026-09-06T16:30:00+0200,0.017,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T14:45:00Z,2026-09-06T16:45:00+0200,71.061,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
